Segment;LEDs (amount);Chip (0-4);Pin (0-15);Cost;From Node;To Node;Segment to Node Association for solver;Faultyness
1;17;4;3;270;97;42;;
2;8;3;6;140;42;3;;
3;6;H;;;;;;
4;8;3;3;145;3;18;;
5;4;3;2;70;18;6;;
6;6;H;;;;;;
7;4;3;10;60;6;67;;F
8;13;3;12;200;67;89;;
9;14;0;3;225;89;31;;
10;8;1;13;140;31;11;;
11;6;H;;;;;;
12;5;2;1;80;11;85;;
13;7;2;3;115;85;27;;
14;17;0;11;285;27;97;;SF
15;12;4;4;195;97;16;;
16;6;H;;;;;;
17;18;3;8;290;16;18;;
18;6;H;;;;;;
19;10;2;11;160;18;91;;
20;12;3;1;200;91;6;;
21;11;3;9;180;6;62;;
22;11;4;11;185;62;71;;
23;6;0;15;95;71;47;;
24;9;1;10;140;47;27;;
25;4;2;5;70;27;83;;
26;8;2;6;135;81;27;;
27;5;H;;;;;;
28;12;2;2;200;27;11;;
29;8;1;15;140;11;87;;
30;9;1;14;145;87;31;;
31;5;H;;;;;;
32;5;1;2;80;31;33;;
33;6;H;;;;;;
34;4;0;4;75;33;35;;
35;6;H;;;;;;
36;9;4;10;150;35;62;;
37;15;3;15;250;62;18;;
38;6;3;4;100;93;3;;
39;10;3;7;165;3;16;;
40;11;2;9;170;3;95;;
41;5;2;8;80;95;42;;
42;5;H;;;;;;
43;4;4;1;60;42;16;;
44;6;4;15;100;16;77;;
45;8;4;13;120;77;100;;
46;7;0;14;110;100;47;;
47;5;H;;;;;;
48;8;1;11;135;47;11;;
49;5;1;12;80;11;52;;
50;8;1;1;125;52;33;;
51;7;1;7;115;31;52;;
52;5;H;;;;;;
53;4;1;8;70;52;47;;
54;6;0;13;100;47;56;;
55;8;0;12;125;56;27;;
56;5;H;;;;;;
57;8;0;9;125;56;59;;
58;5;0;7;80;59;100;;
59;6;H;;;;;;
60;9;4;5;160;59;16;;
61;8;4;0;130;16;62;;
62;8;H;;;;;;
63;6;4;7;105;62;65;;
64;7;4;9;110;65;35;;
65;4;H;;;;;;
66;7;3;13;110;65;67;;
67;6;H;;;;;;
68;13;3;0;215;67;91;;
69;11;0;2;175;89;33;;
70;6;0;5;105;33;71;;
71;6;H;;;;;;
72;6;0;6;100;71;100;;
73;12;1;0;185;47;33;;F
74;20;4;8;320;33;67;;
75;11;3;14;175;67;62;;
76;5;4;6;75;62;77;;
77;5;H;;;;;;
78;4;4;14;70;77;59;;
79;4;0;8;60;59;97;;
80;13;0;0;220;97;81;;
81;6;H;;;;;;
82;5;2;7;90;81;83;;
83;5;H;;;;;;
84;11;2;4;180;83;85;;
85;5;H;;;;;;
86;14;2;0;225;85;87;;
87;5;H;;;;;;
88;25;1;6;415;87;89;;
89;5;H;;;;;;
90;25;3;11;422;89;91;;
91;6;H;;;;;;
92;17;2;10;290;91;93;;
93;5;H;;;;;;
94;13;3;5;220;93;95;;
95;6;H;;;;;;
96;22;4;2;370;95;97;;
97;6;H;;;;;;
98;10;0;10;160;97;56;;
99;4;1;9;70;56;100;;
100;5;H;;;;;;
101;12;4;12;200;100;62;;
